Aircraft TypeDesignator,Class,Number+Engine Type/FAA Weight Class,"MANUFACTURER, Model"
LA8,@Fixed-wing,2P/S,"AEROVOLGA, LA-8 Flagman"
LACO,Fixed-wing,1P/S,"LAVEN, LACO-125"
LAE1,Fixed-wing,1E/S,"LANGE, E-1 Antares 20E"
LAKR,Fixed-wing,1P/S,"LASER, Akro Z"
LAKX,Fixed-wing,1P/S,"AEROPLASTIKA, LAK-X"
LAMA,Helicopter,1T/S,"AEROSPATIALE, SA-315 Lama"
LANC,Fixed-wing,4P/L,"AVRO, Lancaster"
LARK,Fixed-wing,1P/S,"NORTH AMERICAN ROCKWELL, 100 Lark Commander"
LAST,Fixed-wing,1P/S,"UTVA, N-63 Lasta"
LBUG,Fixed-wing,1P/S,"REFLEX, Lightning Bug"
LCA,Fixed-wing,1J/S+,"ADA, LCA Tejas"
LCB,Fixed-wing,1P/S,"LAIRD, LC-B Commercial"
LCH,Helicopter,2T/S,"HINDUSTAN, LCH"
LCR,Fixed-wing,1P/S,"LAIRD, LC-R Speedwing"
LEG2,Fixed-wing,1P/S,"LANCAIR, Legacy"
LEGD,Fixed-wing,1P/S,"PERFORMANCE, Legend"
LEOP,Fixed-wing,2J/S,"CHICHESTER-MILES, Leopard"
LESP,Fixed-wing,1P/S,"LANCAIR, Lancair ES-P"
LEVI,Fixed-wing,1P/S,"TAPANEE, Levitation 4"
LGEZ,Fixed-wing,1P/S,"RUTAN, 61 Long-EZ"
LH10,Fixed-wing,1P/S,"LH AVIATION, LH-10 Ellipse"
LIBE,Fixed-wing,1P/S,"LIBERTY (1), Bellaire"
LION,Fixed-wing,1P/S,"GRIFFON, Lionheart"
LJ23,Fixed-wing,2J/S,"LEAR JET, 23"
LJ24,Fixed-wing,2J/S+,"GATES LEARJET, 24"
LJ25,Fixed-wing,2J/S+,"GATES LEARJET, 25"
LJ28,Fixed-wing,2J/S+,"GATES LEARJET, 28"
LJ31,Fixed-wing,2J/S+,"GATES LEARJET, 31"
LJ35,Fixed-wing,2J/S+,"GATES LEARJET, 35"
LJ40,Fixed-wing,2J/S+,"LEARJET, 40"
LJ45,Fixed-wing,2J/S+,"LEARJET, 45"
LJ55,Fixed-wing,2J/S+,"LEARJET, 55"
LJ60,Fixed-wing,2J/S+,"LEARJET, 60"
LJ70,Fixed-wing,2J/S+,"LEARJET, 70"
LJ75,Fixed-wing,2J/S+,"LEARJET, 75"
LJ85,Fixed-wing,2J/S+,"LEARJET, 85"
LK17,Fixed-wing,1P/S,"LAK, LAK-17AT"
LK19,Fixed-wing,1P/S,"LAK, LAK-19T"
LK20,Fixed-wing,1P/S,"LAK, LAK-20M"
LM5,Fixed-wing,1P/S,"LOMBARDI, LM-5 Aviastar"
LM5X,Fixed-wing,1P/S,"LIGHT MINIATURE, LM-5 Super Cub"
LM7,Fixed-wing,1P/S,"LOMBARDI, LM-7"
LMK1,Fixed-wing,1P/S,"CATA, LMK-1 Oryx"
LN27,Fixed-wing,1P/S,"FALCOMPOSITE, LN-27 Furio"
LN3,@Fixed-wing,1P/S,"FLYGFABRIKEN, LN-3 Seagull"
LNC2,Fixed-wing,1P/S,"LANCAIR, Lancair 200"
LNC4,Fixed-wing,1P/S,"LANCAIR, Lancair 4"
LNCE,Fixed-wing,1P/S,"LANCAIR, Lancair Super ES"
LNP4,Fixed-wing,1T/S,"LANCAIR, Lancair PropJet 4"
LNT4,Fixed-wing,1T/S,"LANCAIR, Sentry 4T"
LOCA,Fixed-wing,1P/S,"AEROLAB, LoCamp"
LOVE,Fixed-wing,1P/S,"LOVING-WAYNE, WR-1 Love"
LP1,Fixed-wing,1P/S,"LOPRESTI, LP-1 Fury"
LR2T,Helicopter,1T/S,"LOAD RANGER, 2000"
LS10,Fixed-wing,1P/S,"DG FLUGZEUGBAU, LS-10ST"
LS2,Fixed-wing,1P/S,"HAT, LS-2"
LS8,Fixed-wing,1P/S,"ROLLADEN-SCHNEIDER, LS-8T"
LS9,Fixed-wing,1P/S,"ROLLADEN-SCHNEIDER, LS-9"
LSTR,Fixed-wing,1P/S,"CUSTOM FLIGHT, Lite Star"
LTNG,Fixed-wing,2J/L,"ENGLISH ELECTRIC, Lightning"
LUL5,Fixed-wing,1P/S,LUCAS L-5
LUL6,Fixed-wing,1P/S,LUCAS L-6
LUL7,Fixed-wing,1P/S,LUCAS L-7
LUL8,Fixed-wing,1P/S,LUCAS L-8
LV51,Fixed-wing,1P/S,LAVIASA LAV-51 Master
LW20,Fixed-wing,1P/S,"HOWARD HUGHES, Australian LightWing Speed SP-2000"
LW40,Fixed-wing,1P/S,"HOWARD HUGHES, Australian LightWing Speed SP-4000"
LWIN,Fixed-wing,1P/S,"HOWARD HUGHES, Australian LightWing GA-912"
LX32,Fixed-wing,1P/S,"LILIENTHAL, X-32 Bekas"
LX34,Fixed-wing,1P/S,"LILIENTHAL, X-34 Bekas"
LXR,Fixed-wing,1P/S,"Elixir Aircraft, Elixir"
LYNX,Helicopter,2T/S,"WESTLAND, Lynx Wildcat"
LYSA,Fixed-wing,1P/S,"WESTLAND, Lysander"
M10,Fixed-wing,1P/S,"MOONEY, M-10 Cadet"
M101,Fixed-wing,1T/S,"MYASISHCHEV, M-101 Expedition"
M106,Fixed-wing,1P/S,"LAMBERT, M-106 Mission"
M108,Fixed-wing,1P/S,"LAMBERT, M-108 Mission"
M10F,Fixed-wing,1P/S,"MOONEY, M-10T"
M10R,Fixed-wing,1P/S,"MOONEY, M-10J"
M110,Fixed-wing,1P/S,"MONOCOUPE, 110 Special"
M15,Fixed-wing,1J/S,"PZL-MIELEC, M-15 Belphegor"
M17,Fixed-wing,1J/L,"MYASISHCHEV, M-17 Stratosfera"
M18,Fixed-wing,1P/S,"PZL-MIELEC, M-18 Dromader"
M18T,Fixed-wing,1T/S,"PZL-MIELEC, M-18 Turbine Dromader"
M1SC,Fixed-wing,1P/S,"HPA (2), M-1 SpeedCruiser"
M2,Fixed-wing,1P/S,"KUBICEK, M-2 Scout"
M200,Fixed-wing,1P/S,"AERO COMMANDER, Commander 200"
M203,Fixed-wing,1P/S,"MYASISHCHEV, M-203 Barsuk"
M20P,Fixed-wing,1P/S,"MOONEY, M-20"
M20T,Fixed-wing,1P/S,"MOONEY, M-20M TLS"
M21,Fixed-wing,1P/S,"PZL-MIELEC, M-21 Dromader Mini"
M212,Fixed-wing,1P/S,"LAMBERT, M-212 Mission"
M22,Fixed-wing,1P/S,"MOONEY, M-22 Mustang"
M24,Fixed-wing,1P/S,"PZL-MIELEC, M-24 Dromader Super"
M26,Fixed-wing,1P/S,"PZL-MIELEC, M-26 Air Wolf"
M28,Fixed-wing,2T/S+,"PZL-MIELEC, M-28 Skytruck"
M2HK,Fixed-wing,1P/S,"MILES, M-2 Hawk Major"
M308,Fixed-wing,1P/S,"GERMAN BIANCO, MB-308"
M326,Fixed-wing,1J/S+,"AERMACCHI, MB-326"
M339,Fixed-wing,1J/S+,"AERMACCHI, MB-339"
M346,Fixed-wing,2J/S+,"AERMACCHI, M-346 Master"
M360,Fixed-wing,1P/S,"AIRCRAFT TECHNOLOGIES, Meyer-360"
M4,Fixed-wing,1P/S,"MAULE, M-4"
M404,Fixed-wing,2P/L,"MARTIN, 404"
M5,Fixed-wing,1P/S,"MAULE, M-5"
M55,Fixed-wing,2J/L,"MYASISHCHEV, M-55 Geophysica"
M6,Fixed-wing,1P/S,"MAULE, M-6 Super Rocket"
M600,Fixed-wing,1T/S,"PIPER, PA-46-600TP M600"
M7,Fixed-wing,1P/S,"MAULE, M-7-235 Super Rocket"
M74,Helicopter,1P/S,"TEXAS HELICOPTER, M-74 Wasp"
M7T,Fixed-wing,1T/S,"MAULE, M-7-420 Star Craft"
M8,Fixed-wing,1P/S,MAULE M-8
M9,Fixed-wing,1P/S,MAULE M-9
MA1,Fixed-wing,1P/S,"MURRAYAIR, MA-1 Paymaster"
MA5,Fixed-wing,1P/S,"MARQUART, MA-5 Charger"
MA60,Fixed-wing,2T/L,"XIAN, MA-60"
MA6H,Fixed-wing,2T/L,"XIAN, MA-60H"
MAGC,Fixed-wing,1P/S,"EAGLE AVIATION, EA-100"
MAGI,Fixed-wing,1P/S,"MILES, M-14 Magister"
MAGN,Fixed-wing,1P/S,"AIRDALE, Magnum"
MAJR,Fixed-wing,1P/S,"LUTON, LA-5 Major"
MAKO,Fixed-wing,1P/S,"LANCAIR, Mako"
MAMB,Fixed-wing,1P/S,"MELBOURNE, MA-2 Mamba"
MAME,Fixed-wing,1P/S,"AEROCOMP, Merlin"
MARS,$Fixed-wing,4P/L,"MARTIN, 170 Mars"
MAVR,Fixed-wing,1P/S,"AEA, Maverick"
MC10,Fixed-wing,2P/S,"COLOMBAN, MC-10 Cricri"
MC23,Fixed-wing,2J/L,"IRKUT, MC-21-300"
MC45,Fixed-wing,1P/S,MEYERS MAC-145
MC90,Fixed-wing,1P/S,MONOCOUPE 90
MCOU,Fixed-wing,1P/S,CHRIS TENA Mini Coupe
MCOY,Fixed-wing,1P/S,MONTANA Coyote
MCR1,Fixed-wing,1P/S,DYN'AERO MCR-01
MCR4,Fixed-wing,1P/S,DYN'AERO MCR-4
MCRR,Fixed-wing,1P/S,DYN'AERO MCR-R180
MCUL,Fixed-wing,1P/S,KIMBALL McCullocoupe
MD10,Fixed-wing,3J/H,"BOEING, MD-10"
MD11,Fixed-wing,3J/H,"MCDONNELL DOUGLAS, MD-11"
MD3,Fixed-wing,1P/S,"MDB, MD-3 Swiss Trainer"
MD3R,Fixed-wing,1P/S,"FLYITALIA, MD-3 Rider"
MD52,Helicopter,1T/S,"MCDONNELL DOUGLAS, AH-6J"
MD60,Helicopter,1T/S,"MCDONNELL DOUGLAS, MD-600N"
MD81,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-81"
MD82,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-82"
MD83,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-83"
MD87,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-87"
MD88,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-88"
MD90,Fixed-wing,2J/L,"MCDONNELL DOUGLAS, MD-90"
ME08,Fixed-wing,1P/S,"MESSERSCHMITT, Bf-108 Taifun"
ME09,Fixed-wing,1P/S,"MESSERSCHMITT, Bf-109"
ME62,Fixed-wing,2J/S+,"MESSERSCHMITT, Me-262 Replica"
MEAD,Fixed-wing,1P/S,"MEAD, Adventure"
MEL2,Fixed-wing,1P/S,"GARRISON, Melmoth 2"
MERK,Fixed-wing,2P/S,"AVIATON, Merkury"
MESS,Fixed-wing,1P/S,"MILES, M-38 Messenger"
METR,Fixed-wing,2J/S+,"GLOSTER, Meteor"
MEXP,Fixed-wing,1P/S,"MERLIN, Explorer"
MF10,Fixed-wing,1P/S,"MALMO, MFI-10 Vipan"
MF17,Fixed-wing,1P/S,"SAAB, MFI-17 Supporter"
MG15,Fixed-wing,1J/S+,"MIKOYAN, MiG-15"
MG17,Fixed-wing,1J/S+,"MIKOYAN, MiG-17"
MG19,Fixed-wing,2J/S+,"MIKOYAN, MiG-19"
MG21,Fixed-wing,1J/S+,"MIKOYAN, MiG-21"
MG23,Fixed-wing,1J/S+,"MIKOYAN, MiG-23"
MG25,Fixed-wing,2J/L,"MIKOYAN, MiG-25"
MG29,Fixed-wing,2J/L,"MAPO, MiG-29"
MG31,Fixed-wing,2J/L,"MIKOYAN, MiG-31"
MG44,Fixed-wing,2J/L,"MIKOYAN, MiG 1-44"
MGAT,Fixed-wing,1J/S+,"MIKOYAN, MiG-AT"
MGIC,Fixed-wing,1P/S,"KAISER, Magic"
MGNM,Fixed-wing,1P/S,"AVIATION ENTERPRISES, Magnum"
MH02,Fixed-wing,2J/S,HONDA-MISSISSIPPI MH-02
MH20,Helicopter,2T/S,MITSUBISHI MH-2000
MH46,Fixed-wing,1P/S,"AEROSETTE, MH-46 Eclipse"
MI10,Helicopter,2T/L,"MIL, Mi-10"
MI14,Helicopter,2T/S+,"MIL, Mi-14"
MI2,Helicopter,2T/S,"MIL, Mi-2"
MI24,Helicopter,2T/S+,"MIL, Mi-24"
MI26,Helicopter,2T/L,"MIL, Mi-26"
MI28,Helicopter,2T/S+,"MIL, Mi-28"
MI34,Helicopter,1P/S,"MIL, Mi-34"
MI38,Helicopter,2T/S+,"MIL, Mi-38"
MI4,Helicopter,1P/S+,"MIL, Mi-4"
MI6,Helicopter,2T/L,"MIL, Mi-6"
MI8,Helicopter,2T/S+,"MIL, Mi-8"
MICO,Fixed-wing,2J/S,"MARMANDE, Microjet 200"
MIDR,Fixed-wing,1P/S,"ACBA, ACBA-8 Midour 2"
MIMP,Fixed-wing,1P/S,"AEROCAD, Mini-Imp"
MIMU,Fixed-wing,1P/S,"BUSHBY, MM-1 Midget Mustang"
MIR2,Fixed-wing,1J/S+,"DASSAULT, Mirage 2000"
MIRA,Fixed-wing,1J/S+,"DASSAULT, Mirage 5"
MITE,Fixed-wing,1P/S,"MOONEY, M-18 Mite"
MJ10,Fixed-wing,1P/S,"JURCA, MJ-10 Spit"
MJ12,Fixed-wing,1P/S,"JURCA, MJ-12 P-40"
MJ1H,Fixed-wing,1P/S,"JURCA, MJ-100 Spitfire Replica"
MJ2,Fixed-wing,1P/S,JURCA MJ-2 TempÃÂªte
MJ3,Fixed-wing,1P/S,"JURCA, MJ-3 Dart"
MJ4,Fixed-wing,1P/S,"JURCA, MJ-4 Shadow"
MJ5,Fixed-wing,1P/S,"JURCA, MJ-5 Sirocco"
MJ53,Fixed-wing,1P/S,"JURCA, MJ-53 Autan"
MJ55,Fixed-wing,1P/S,"JURCA, MJ-55 Biso"
MJ7,Fixed-wing,1P/S,"JURCA, MJ-7 Gnatsum"
MJ77,Fixed-wing,1P/S,"JURCA, MJ-77 Gnatsum"
MJ8,Fixed-wing,1P/S,"JURCA, MJ-8 1-Nine-0"
MJ80,Fixed-wing,1P/S,"JURCA, MJ-80 Focke-Wulf Fw-190 Replica"
MJ9,Fixed-wing,1P/S,"JURCA, MJ-9"
MJ90,Fixed-wing,1P/S,"JURCA, MJ-90 Messerschmitt Bf-109 Replica"
MLER,Fixed-wing,1P/S,"ALANNE, Moottori-Lerche"
MM14,Gyrocopter,1P/S,"MAGNI, M-14 Scout"
MM16,Gyrocopter,1P/S,"MAGNI, M-16 Tandem Trainer"
MM19,Gyrocopter,1P/S,"MAGNI, M-19 Shark"
MM21,Gyrocopter,1P/S,"MAGNI, M-21"
MM22,Gyrocopter,1P/S,"MAGNI, M-22 Voyager"
MM24,Gyrocopter,1P/S,"MAGNI, M-24 Orion"
MMAC,Fixed-wing,1P/S,"MCCARLEY, Mini-Mac"
MMAX,Gyrocopter,1P/S,"MAD MAX AERO, Mad Max"
MMUT,Fixed-wing,1P/S,"MARA WING, L-1 Malamut"
MNEX,Fixed-wing,1P/S,"NORMAN, Nordic 8 Mini Explorer"
MOCU,Fixed-wing,1P/S,"CULP, MonoCulp"
MOGO,Fixed-wing,1P/S,"MONTAGNE, Mountain Goat"
MOL1,Fixed-wing,1P/S,"MOLNIYA, 1"
MONA,Fixed-wing,1P/S,"MILES, M-17 Monarch"
MONI,Fixed-wing,1P/S,"MONNETT, Moni"
MOR2,Fixed-wing,1P/S,"MORRISEY, 2000 Nifty"
MOSP,Fixed-wing,1P/S,"MONG, Sport"
MOSQ,Fixed-wing,2P/S+,"DE HAVILLAND, DH-98 Mosquito"
MOTO,Fixed-wing,1P/S,"HUMBERT , Moto Du Ciel"
MP02,Fixed-wing,1P/S,"AERO-KROS, MP-02 Czajka"
MP20,Fixed-wing,1P/S,"PLAN, MP-205 Busard"
MR25,Fixed-wing,1P/S,"MURPHY, SR-2500 Super Rebel"
MR35,Fixed-wing,1P/S,"MURPHY, SR-3500 Moose"
MR3T,Fixed-wing,1T/S,"MURPHY, SR-3500 T-Moose"
MRAI,Fixed-wing,1P/S,"MONNETT, Monerai P"
MRAM,Fixed-wing,1P/S,"HARMON (1), 1-2 Mister America"
MRF1,Fixed-wing,1J/S+,"DASSAULT, Mirage F1"
MRJ7,Fixed-wing,2J/L,"MITSUBISHI, MRJ-70"
MRJ9,Fixed-wing,2J/L,"MITSUBISHI, MRJ-90"
MRMD,@Fixed-wing,1P/S,"CZAW, Mermaid"
MRTN,Fixed-wing,1P/S,"MIRAGE, Marathon"
MS1,Fixed-wing,1P/S,"MYSKY, MS-1"
MS18,Fixed-wing,1P/S,"SOCATA, MS-200FG Morane"
MS23,Fixed-wing,1P/S,"MORANE-SAULNIER, MS-230"
MS25,Fixed-wing,1P/S,SOCATA MS-200RG Morane
MS30,Fixed-wing,1P/S,"SOCATA, MS-300 Epsilon 2"
MS31,Fixed-wing,1P/S,"MORANE-SAULNIER, MS-315"
MS73,Fixed-wing,1P/S,"MORANE-SAULNIER, MS-733 Alcyon"
MS76,Fixed-wing,2J/S,"MORANE-SAULNIER, MS-760 Paris"
MSAI,Fixed-wing,1P/S,"MORANE-SAULNIER, MoS-27"
MSQ2,Fixed-wing,1P/S,"BACKCOUNTRY, Mackey SQ-2"
MT,Gyrocopter,1P/S,"ROTORSPORT, MT-03"
MT2,Fixed-wing,2J/S+,"MITSUBISHI, T-2"
MU2,Fixed-wing,2T/S,"MITSUBISHI, MU-2 Marquise"
MU23,Fixed-wing,1P/S,AKAFLIEG MUNCHEN MÃÂ¼-23 Saurier
MU30,Fixed-wing,2J/S+,"MITSUBISHI, MU-300 Diamond"
MUS2,Fixed-wing,1P/S,"MUSTANG, M-2 Mustang 2"
MVN1,Fixed-wing,1P/S,"MVEN, 1 Fermer"
MVRK,Fixed-wing,1P/S,"PHOENIX (2), Maverick"
MX10,Fixed-wing,1P/S,"AEROTEC (2), MXP-100 Aventura"
MX1T,Fixed-wing,1P/S,"AEROANDINA, MXP-1000 Tayrona"
MX2,Fixed-wing,1P/S,"MXR, MX-2"
MX65,Fixed-wing,1P/S,"AEROTEC (2), MXP-650 Amigo"
MX80,Fixed-wing,1P/S,"AEROANDINA, MXP-800 Fantasy"
MXS,Fixed-wing,1P/S,"MXR, MXS"
MY12,Fixed-wing,1P/S,"MYLIUS, MY-102 Tornado"
MY13,Fixed-wing,1P/S,"MYLIUS, MY-103 Mistral"
MYA4,Fixed-wing,4J/H,"MYASISHCHEV, M-4"
MYS4,Fixed-wing,1J/S+,DASSAULT MD-454A MystÃÂ¨re 4A
N110,Fixed-wing,1P/S,"NORD, 1100 Noralpha"
N120,Fixed-wing,1P/S,"NORD, 1200 Norecrin"
N250,Fixed-wing,2T/L,"NUSANTARA, N-250"
N260,Fixed-wing,2T/S+,"MAX HOLSTE, MH-260 Super Broussard"
N262,Fixed-wing,2T/S+,"AEROSPATIALE, N-262"
N3,Fixed-wing,1P/S,"NOSTALGAIR, N-3 Super Pup"
N320,Fixed-wing,1P/S,"NORD, 3202"
N340,Fixed-wing,1P/S,"NORD, 3400"
N3N,Fixed-wing,1P/S,"NAVAL AIRCRAFT FACTORY, N3N"
N5,Fixed-wing,1P/S,"NANCHANG, N-5"
NA40,Helicopter,2T/S,"UNIS, NA-40 Bongo"
NAL2,Fixed-wing,1P/S,"NAL, NALLA-2 Hansa"
NAVI,Fixed-wing,1P/S,"NORTH AMERICAN, L-17 Navion"
NC85,Fixed-wing,1P/S,"NORD, NC-854"
ND1T,Fixed-wing,1T/S,"NDN, NDN-1T Turbo Firecracker"
NDAC,Fixed-wing,1P/S,"NORMAND DUBE, Aerocruiser"
NDAT,Fixed-wing,1P/S,"NORMAND DUBE, Aerocruiser Turbo 450"
NDIC,Fixed-wing,1P/S,"NORMAN, Nordic 2"
NG4,Fixed-wing,1P/S,"BRM AERO, NG-4"
NG5,Fixed-wing,1P/S,"BRM AERO, NG-5 Bristell"
NH90,Helicopter,2T/S+,"NHI, NH-90"
NHCO,Fixed-wing,1P/S,"NEW HORIZONS, 01 Colibri"
NI28,Fixed-wing,1P/S,"NIEUPORT, 28 Replica"
NIBB,Fixed-wing,1P/S,"AVIAMILANO, F-14 Nibbio"
NIMB,Fixed-wing,1P/S,"SCHEMPP-HIRTH, Nimbus 2M"
NIPR,Fixed-wing,1P/S,"SLINGSBY, T-66 Nipper"
NM5,Fixed-wing,1P/S,"NAL, NM-5"
NMCU,Fixed-wing,1P/S,"ENAER, ECH-02 Namcu"
NNJA,Fixed-wing,1P/S,"BEST OFF, Nynja"
NOMA,Fixed-wing,2T/S,"GAF, N-2 Nomad"
NORA,Fixed-wing,2P/L,"NORD, 2501 Noratlas"
NORS,Fixed-wing,1P/S,"NOORDUYN, C-64 Norseman"
NPOR,Fixed-wing,1P/S,"REDFERN, Nieuport 17"
NSTR,Fixed-wing,1P/S,"CUSTOM FLIGHT, North Star"
NT10,Fixed-wing,1P/S,"NUWACO, T-10"
NXT,Fixed-wing,1P/S,"NEMESIS, NXT"
O1,Fixed-wing,1P/S,"CESSNA, O-1 Bird Dog"
O3,Fixed-wing,1P/S,"LOCKHEED, YO-3"
OH1,Helicopter,2T/S,"KAWASAKI, OH-1"
OKHO,Gyrocopter,1P/S,"AERO-ASTRA, Okhotnik"
OM1,Fixed-wing,1P/S,"MORRISEY, OM-1 Bravo"
OMAG,Fixed-wing,1P/S,"O'NEILL, Magnum"
OMGA,Fixed-wing,1P/S,"ISAE, Omega 2"
OMLA,Fixed-wing,1T/S,"OMAC, Laser 300"
ONE,Fixed-wing,1P/S,"AIRNET, One"
ONEX,Fixed-wing,1P/S,"SONEX, Onex"
OPCA,Fixed-wing,1P/S,"BROOKLANDS, OA-7 Optica Scout"
OR10,@Fixed-wing,1P/S,"ORION, 10"
OR12,@Fixed-wing,2P/S,"ORION, SK-12"
OSCR,Fixed-wing,1P/S,"PARTENAVIA, P-64 Oscar"
OUDE,Fixed-wing,1P/S,"OLYMPIC ULTRALIGHTS, Desert Eagle 2"
OVOD,Fixed-wing,1P/S,"VITEK, Ovod"
OZZI,Fixed-wing,1P/S,"BUCHANAN, BAC-204 Ozzie Mozzie"
P06T,Fixed-wing,2P/S,"TECNAM, P-2006T"
P1,Fixed-wing,4J/L,"KAWASAKI, P-1"
P100,Fixed-wing,1P/S,"POTTIER, P-100"
P130,Fixed-wing,1P/S,"POTTIER, P-130 Bleu Citron"
P136,@Fixed-wing,2P/S,"PIAGGIO, P-136"
P148,Fixed-wing,1P/S,"PIAGGIO, P-148"
P149,Fixed-wing,1P/S,"FOCKE-WULF, FWP-149"
P180,Fixed-wing,2T/S,"PPIAGGIO, P-180 Avanti"
P18T,Fixed-wing,1T/S,"SMITH AVIATION, PA-18T Super Cub"
P19,Fixed-wing,1P/S,"AVIAMILANO, P-19 Scricciolo"
P1HH,Fixed-wing,2T/NOWGT,"PIAGGIO, P-1HH Hammerhead"
P2,Fixed-wing,2P/L,"LOCKHEED, P-2 Neptune"
P208,Fixed-wing,1P/S,"TECNAM, P-2008"
P210,Fixed-wing,1P/S,"CESSNA, P210 Pressurized Centurion"
P212,Fixed-wing,2P/S,"TECNAM, P-2012 Traveller"
P220,Fixed-wing,1P/S,"AEROTECHNIK, P-220 Koala"
P230,Fixed-wing,1P/S,"POTTIER, P-230 Panda"
P27,Fixed-wing,1P/S,"GRYF, P-27 Skyster"
P270,Fixed-wing,1P/S,"POTTIER, P-270 Amster"
P28A,Fixed-wing,1P/S,"PIPER, PA-28-140 Cherokee"
P28B,Fixed-wing,1P/S,"PIPER, PA-28-235 Cherokee Charger"
P28R,Fixed-wing,1P/S,"PIPER, PA-28R-180 Cherokee Arrow"
P28S,Fixed-wing,1P/S,"PIPER, PA-28R-201T Turbo Arrow"
P28T,Fixed-wing,1P/S,"PIPER, PA-28RT-201 Arrow 4"
P28U,Fixed-wing,1P/S,"PIPER, PA-28RT-201T Turbo Arrow 4"
P3,Fixed-wing,4T/L,"LOCKHEED, P-3 Orion"
P32R,Fixed-wing,1P/S,"PIPER, PA-32R-300 Lance"
P32T,Fixed-wing,1P/S,"PIPER, PA-32RT-300 Lance 2"
P337,Fixed-wing,2P/S,"CESSNA, P337 Pressurized Skymaster"
P36,Fixed-wing,1P/S,"CURTISS, P-36 Hawk"
P38,Fixed-wing,2P/S+,"LOCKHEED, P-38 Lightning"
P39,Fixed-wing,1P/S,"BELL, P-39 Airacobra"
P40,Fixed-wing,1P/S,"CURTISS, P-40 Kittyhawk"
P46T,Fixed-wing,1T/S,"PIPER, PA-46-500TP Malibu Meridian"
P47,Fixed-wing,1P/S+,"REPUBLIC, P-47 Thunderbolt"
P4Y,Fixed-wing,4P/L,"CONVAIR, P4Y Privateer"
P50,Fixed-wing,1P/S,"POTTIER, P-50 Bouvreuil"
P51,Fixed-wing,1P/S,"NORTH AMERICAN, P-51 Mustang"
P57,Fixed-wing,1P/S,"PARTENAVIA, P-57 Fachiro 2"
P60,Fixed-wing,1P/S,"POTTIER, P-60 Minacro"
P61,Fixed-wing,2P/S+,"NORTHROP, P-61 Black Widow"
P63,Fixed-wing,1P/S,"BELL, P-63 Kingcobra"
P66P,Fixed-wing,2P/S,"PIAGGIO, P-166"
P66T,Fixed-wing,2T/S,"PIAGGIO, P-166DL3"
P68,Fixed-wing,2P/S,"PARTENAVIA, P-68 Observer"
P68T,Fixed-wing,2T/S,"PARTENAVIA, AP-68TP-300 Spartacus"
P70,Fixed-wing,1P/S,"POTTIER, P-70"
P750,Fixed-wing,1T/S,"PACIFIC AEROSPACE, P-750 XStol"
P8,Fixed-wing,2J/L,"BOEING, P-8 Poseidon"
P80,Fixed-wing,1P/S,"POTTIER, P-80"
P82,Fixed-wing,2P/S+,"NORTH AMERICAN, P-82 Twin Mustang"
PA11,Fixed-wing,1P/S,"PIPER, PA-11 Cub Special"
PA12,Fixed-wing,1P/S,"PIPER, PA-12 Super Cruiser"
PA14,Fixed-wing,1P/S,"PIPER, PA-14 Family Cruiser"
PA15,Fixed-wing,1P/S,"PIPER, PA-15 Vagabond"
PA16,Fixed-wing,1P/S,"PIPER, PA-16 Clipper"
PA17,Fixed-wing,1P/S,"PIPER, PA-17 Vagabond"
PA18,Fixed-wing,1P/S,"PIPER, PA-18 Super Cub"
PA20,Fixed-wing,1P/S,"PIPER, PA-20 Pacer"
PA22,Fixed-wing,1P/S,"PIPER, PA-22 Tri-Pacer"
PA23,Fixed-wing,2P/S,"PIPER, PA-23-150 Apache"
PA24,Fixed-wing,1P/S,"PIPER, PA-24 Comanche"
PA25,Fixed-wing,1P/S,"PIPER, PA-25 Pawnee"
PA27,Fixed-wing,2P/S,"PIPER, PA-23-250 Aztec"
PA30,Fixed-wing,2P/S,"PIPER, PA-30 Twin Comanche"
PA31,Fixed-wing,2P/S,"PIPER, PA-31-300 Navajo"
PA32,Fixed-wing,1P/S,"AICSA, PA-32 Saratoga"
PA34,Fixed-wing,2P/S,"PIPER, PA-34 Seneca"
PA36,Fixed-wing,1P/S,"PIPER, PA-36 Pawnee Brave"
PA38,Fixed-wing,1P/S,"PIPER, PA-38 Tomahawk"
PA44,Fixed-wing,2P/S,"PIPER, PA-44 Seminole"
PA46,Fixed-wing,1P/S,"PIPER, PA-46-310P Malibu"
PA47,Fixed-wing,1J/S,"PIPER, PA-47 Piper Jet"
PACE,Fixed-wing,1P/S,"BELLANCA, Pacemaker"
PAGO,Fixed-wing,1P/S,"SAUPER, ADV-01 Papango"
PANT,Fixed-wing,1P/S,"ROTEC, Panther 2"
PAR1,Fixed-wing,1P/S,"PARADISE, P-1"
PAR4,Fixed-wing,1P/S,"PARADISE, P-4"
PARA,,,(any manufacturer) Powered parachute/Paraplane
PARL,Fixed-wing,1P/S,"ST. CROIX, Pietenpol Aerial"
PAT2,Fixed-wing,1P/S,"ATAC, Patriot 2"
PAT4,Fixed-wing,2T/S,"PIPER, PA-31T3-500 T-1040"
