Company,Country,Telephony,3Ltr
CAA DIRECTORATE OF AIRSPACE POLICY (IFP),UNITED KINGDOM,ALLWEATHER,AWX
CAA FLIGHT EXAMINERS,UNITED KINGDOM,EXAM,EXM
CAA FLYING UNIT,UNITED KINGDOM,MINAIR,CFU
CAA TRAINING STANDARDS,UNITED KINGDOM,STANDARDS,SDS
CABO VERDE EXPRESS,CABO VERDE,KABEX,CVE
CABOLAR (PTY) LTD T/A SKYWISE,SOUTH AFRICA,SKYWISE,SWZ
CAE AVIATION,LUXEMBOURG,LUXVAN,LXC
CAICOS EXPRESS AIRWAYS,UNITED KINGDOM,CAICOS,CXE
CAIRO AIR TRANSPORT COMPANY (CAIRO AVIATION),EGYPT,,CCE
CAL GULF AVIATION,SAO TOME AND PRINCIPE,CAL-GULF,CGC
"CALIBER JET CHARTER, LLC (WESTLAKE, OH)",UNITED STATES,CALIBER JET,CJZ
"CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)",UNITED STATES,CALFIRE,...
"CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)",UNITED STATES,CALFIRE,CFR
CALIMA DE AVIACION S.L.,SPAIN,CALIMA,CMV
CALM AIR,CANADA,CALM AIR,CAV
CALSTAR,UNITED STATES,CALSTAR MED,CMD
CAM AIR MANAGEMENT LTD,UNITED KINGDOM,CAMEO,CMR
CAMBODIA AIRLINES,CAMBODIA,ANGKOR WAT,CCL
"CAMBODIA AIRWAYS CO., LTD.",CAMBODIA,GIANT IBIS,KME
CAMBODIA ANGKOR AIR,CAMBODIA,CAMBODIA AIR,KHV
CAMBODIA BAYON AIRLINES,CAMBODIA,BAYON AIR,BYC
CAMEROON AIRLINES CORPORATION (CAMAIR-CO),CAMEROON,CAMAIRCO,CRC
CAMEX AIRLINES LLC,GEORGIA,CAMEX,CMS
CAN WEST CORPORATE AIR CHARTERS LTD.,CANADA,CAN WEST,CWA
CANADA - TRANSPORT CANADA,CANADA,TRANSPORT,TGO
CANADA JETLINES OPERATIONS LTD.,CANADA,JETBUS,CJL
CANADIAN AIRWAYS CONGO,CONGO,CANAIR,TWC
CANADIAN ARMED FORCES,CANADA,CANFORCE,CFC
CANADIAN COAST GUARD,CANADA,CANADIAN COAST GUARD,CTG
CANADIAN HELICOPTERS LIMITED DBA HNZ GLOBAL,CANADA,CANADIAN,CDN
CANADIAN NORTH INC.,CANADA,EMPRESS,MPE
CANADIAN PACIFIC RAILWAY,CANADA,RAILCAR,CRR
CANADIAN WARPLANE HERITAGE MUSEUM,CANADA,WARPLANE HERITAGE,CWH
"CANARIAS AERONAUTICA, S.L.",SPAIN,CANARIAS LINK,CAU
"CANARIAS AIRLINES, COMPANIA DE AVIACION S.L.U.",SPAIN,,RSC
CANARY FLY S.L.,SPAIN,CANARY,CNF
CANAVIA LINEAS AEREAS S.L.,SPAIN,CANAVIA,CNA
CANLINK AVIATION INC.,CANADA,EAST WIND,MFC
"CAPE CENTRAL AIRWAYS, INC. (CAPE GIRARDEAU, MO)",UNITED STATES,SEMO,SEM
CAPITAL AIR AMBULANCE LIMITED,UNITED KINGDOM,PRESTIGE,EGL
"CAPITAL AIR SERVICE, INC. (MANHATTAN, KS)",UNITED STATES,CAPAIR,CPX
CAPITAL AIR SERVICES LTD,UNITED KINGDOM,WOODSTOCK,WDK
CAPITAL AIRCRAFT GROUP,BELGIUM,CAPGROUP,CGP
CAPITAL AIRLINES LIMITED,NIGERIA,CAPITAL SHUTTLE,NCP
CAPITAL AIRLINES LIMITED,KENYA,CAPITAL DELTA,CPD
"CAPITAL CITY AIR CARRIERS, INC. (PIERRE, SD)",UNITED STATES,CAP CITY,CCQ
CAPITAL JET CHARTER CORP.,UNITED STATES,CAP JET,CCJ
"CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL",AUSTRALIA,TOPEND,ANO
"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES,CAPWINGS,CWZ
CARAVAN AIR,MAURITANIA,CAMEL,VAN
"CARDIG AIR, PT.",INDONESIA,CARDIG AIR,CAD
"CARDINAL/AIR VIRGINIA (LYNCHBURG, VA)",UNITED STATES,AIR VIRGINIA,FVA
CARE FLIGHT (NSW) LIMITED,AUSTRALIA,CARE FLIGHT,CFH
"CARGO 360, INC. (SEATTLE, WA)",UNITED STATES,LONG-HAUL,GGC
CARGO AIR LTD,BULGARIA,CLEVER,CGF
CARGO B AIRLINES N.V./S.A.,BELGIUM,CARGO-BEE,CBB
CARGO EXPRESS,MAURITANIA,MAURICARGO,MCX
CARGO LINK (CARIBBEAN) INC.,BARBADOS,CARGO LINK,CLM
CARGO THREE INC.,PANAMA,THIRD CARGO,CTW
CARGOJET AIRWAYS LTD,CANADA,CARGOJET,CJT
CARGOLAAR CC,NAMIBIA,CARGOLAAR,GOL
CARGOLOGIC GERMANY GMBH,GERMANY,SAXONIAN,GCL
CARGOLOGICAIR LTD,UNITED KINGDOM,FIREBIRD,CLU
CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,CARGOLUX,CLX
CARGOLUX ITALIA S.P.A.,ITALY,CARGOLUX ITALIA,ICV
CARIB EXPRESS,BARBADOS,WAVEBIRD,BCB
CARIBBEAN AIR CARGO,BARBADOS,CARICARGO,DCC
CARIBBEAN AIRLINES LIMITED,TRINIDAD AND TOBAGO,CARIBBEAN AIRLINES,BWA
CARIBBEAN AIRWAYS,BARBADOS,CARIBJET,IQQ
"CARIBBEAN EXPRESS, INC. (MIAMI SPRINGS, FL)",UNITED STATES,CARIB-X,TLC
"CARIBBEAN SUN AIRLINES, INC. D/B/A WORLD ATLANTIC AIRLINES (MIAMI, FL)",UNITED STATES,DORAL,WAL
CARIBINTAIR S.A.,HAITI,CARIBINTAIR,CRT
CARICOM AIRWAYS (BARBADOS) INC.,BARBADOS,DOLPHIN,CCB
CARPATAIR S.A.,ROMANIA,CARPATAIR,KRP
CARSON AIR LTD.,CANADA,CARSON,CRN
"CARVER AERO, LLC DBA REVV AVIATION",UNITED STATES,REV AERO,FRV
CASCADIA AIRWAYS INC,CANADA,BIGFOOT,CBF
"CASEMENT AVIATION (PLAINESVILLE, OH)",UNITED STATES,CASEMENT,CMT
"CASINO AIRLINES, INC. (SHREVEPORT, LA)",UNITED STATES,CASAIR,CSO
"CASPER AIR SERVICE, INC.(CASPER, WY)",UNITED STATES,CASPER AIR,CSP
CASPIAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),CASPIAN,CPN
"CASS PROFESSIONAL SERVICES, CORP.",UNITED STATES,SWIFT BIRD,CPS
CASTILLO MOURRA,HONDURAS,,OMT
CASTLE AIR CHARTER LIMITED,UNITED KINGDOM,CASTLEFILM,...
"CASTLE AVIATION, INC. (RAVENNA, OH)",UNITED STATES,CASTLE,CSJ
CAT AVIATION AG,SWITZERLAND,EUROCAT,CAZ
CAT HELICOPTERS S.L.,SPAIN,ROTORCAT,HCT
CAT ISLAND AIR,BAHAMAS,CAT ISLAND,CIS
"CATALINA FLYING BOATS, INC. (LONG BEACH, CA)",UNITED STATES,CATALINA AIR,CBT
CATHAY PACIFIC AIRWAYS LTD.,CHINA,CATHAY,CPA
CATREUS AOC LTD,UNITED KINGDOM,THUNDER CAT,VCG
CAVERTON HELICOPTERS LTD,NIGERIA,CAVERTON AIR,CJR
CAVOK AIRLINES,UKRAINE,CARGO LINE,CVK
CAYMAN AIRWAYS LTD.,UNITED KINGDOM,CAYMAN,CAY
"CEBGO, INC. DBA CEBGO",PHILIPPINES,BLUE JAY,SRQ
CEBU PACIFIC AIR,PHILIPPINES,CEBU AIR,CEB
CEDAR EXECUTIVE,LEBANON,CEDAREX,CDX
CEGA AVIATION LIMITED,UNITED KINGDOM,CEGA,CEG
CEIBA INTERCONTINENTAL,EQUATORIAL GUINEA,CEIBA LINE,CEL
CELLO AVIATION LTD,UNITED KINGDOM,CELLOJET,CLJ
CEMAIR (PTY) LTD,SOUTH AFRICA,CEMAIR,KEM
CEMEX OPERACIONES MEXICO S.A. DE C.V.,MEXICO,AVIAMERICA,VME
"CENTENNIAL AIRLINES, INC. (LARAMIE, WY)",UNITED STATES,WYO-AIR,CNL
CENTER VOL S.A.,SPAIN,CENTERVOL,CVO
CENTRAFRIC'AIR S.A.,CENTRAL AFRICAN REPUBLIC,,CFK
CENTRAFRICAN AIRLINES,CENTRAL AFRICAN REPUBLIC,CENTRAFRICAIN,CET
CENTRAFRIQUE AIR EXPRESS,CENTRAL AFRICAN REPUBLIC,EXPRESS CENTRAF,CAE
"CENTRAL AIR SOUTHWEST, INC. (CUSHING, OK)",UNITED STATES,CENTRAL COMMUTER,CTL
CENTRAL AIR TRANSPORT SERVICES,ZIMBABWE,SHUMBA,CEN
"CENTRAL AIRLINES CO., LTD",CHINA,HOMELAND,HLF
CENTRAL AIRWAYS,CENTRAL AFRICAN REPUBLIC,TRYDONAIR,CEW
CENTRAL AMERICAN AIRWAYS,HONDURAS,CENTRAL AMERICAN,CRW
"CENTRAL AVIATION, INC. (CHICAGO, IL)",UNITED STATES,YOGAN AIR,YOG
"CENTRAL FLYING SERVICE, INC. (LITTLE ROCK, AR)",UNITED STATES,CHARTER CENTRAL,CHA
"CENTRAL HELICOPTER SERVICE, LTD",JAPAN,,CEH
CENTRAL MOUNTAIN AIR LTD,CANADA,GLACIER,GLR
CENTRE D'ESSAIS EN VOL,FRANCE,CENTEV,CEV
CENTRE IN CHARGE OF A FLIGHT INFORMATION REGION OR AN UPPER FLIGHT INFORMATION REGION,,,ZQZ
CENTRE IN CHARGE OF A FLIGHT INFORMATION REGION OR AN UPPER FLIGHT INFORMATION REGION,,,ZFZ
CENTRELINE AV,UNITED KINGDOM,CLIFTON,CLF
CENTRO DE FORMACION AERONAUTICA DE CANARIAS,SPAIN,FORCAN,ACF
CENTRO DE SERVICIO AERONAUTICO S.A DE C.V.,MEXICO,CESA,JLH
CENTRO INDUSTRIAL AERONAUTICO C.A. (CIACA),VENEZUELA,CIACA,CVX
"CENTURION AIR CARGO, INC. (MIAMI, FL)",UNITED STATES,CHALLENGE CARGO,CWC
CERIUM AIR,KAZAKHSTAN,QAZAQ EAGLE,CAQ
"CERTIFIED AIRCRAFT DISPATCH, INC. (MIAMI, FL)",UNITED STATES,,XAD
CESSZANI AVIATION,SOUTH AFRICA,CESSZANI,CEZ
CFA AIR CHARTERS (PTY) LTD,SOUTH AFRICA,CEEFA CHARTER,CFX
CHABAHAR AIRLINE,IRAN (ISLAMIC REPUBLIC OF),CHABAHAR,IRU
CHAIR AIRLINES AG,SWITZERLAND,EIGER,GSW
"CHAIRMAN AIRMOTIVE II, LLC",UNITED STATES,CHAIRMAN,CHR
CHALAIR AVIATION,FRANCE,CHALLAIR,CLG
CHALLENGE AIR CARGO LIMITED,MALTA,CARGO ROCK,CHZ
CHALLENGE AIRLINES (BE) S.A.,BELGIUM,CHALLENGE,CHG
CHALLENGE AIRLINES (IL),ISRAEL,CAL,ICL
CHALLENGES AVIATION LIMITED,UNITED KINGDOM,TIGER,...
CHALLENGES LIMITED,UNITED KINGDOM,HERITAGE,...
CHAM WING AIRLINES,SYRIAN ARAB REPUBLIC,SHAMWING,SAW
CHANCHANGI AIRLINES (NIGERIA) LIMITED,NIGERIA,CHANCHANGI,NCH
"CHANNEL ISLAND AVIATION (OXNARD, CA)",UNITED STATES,CHANNEL,CHN
"CHANTILLY AIR, INC. (MANASSAS, VA)",UNITED STATES,MARLIN,WML
"CHAPARRAL AIRLINES (ABILENE, TX)",UNITED STATES,CHAPARRAL,CPL
"CHARLIE HAMMONDS FLYING SERVICE, INC. (HOUMA, LA)",UNITED STATES,HAMMOND,HMD
"CHARLOTTE, NC AIR NATIONAL GUARD (CHARLOTTE, NC)",UNITED STATES,,CGD
CHARTER JETS,LITHUANIA,CHARTER JETS,LTC
CHARTERS (SOUTH AFRICAN NON SCHEDULED AIRWAYS (PTY) LTD),SOUTH AFRICA,SOUTHERN CHARTERS,SCS
CHARTERS EJECUTIVOS SA DE CV,MEXICO,EXECUTIVE,CTS
CHARTRIGHT AIR INC.,CANADA,CHARTRIGHT,HRT
"CHAUTAUQUA AIRLINES (JAMESTOWN, NY)",UNITED STATES,CHAUTAUQUA,CHQ
CHC GLOBAL OPERATIONS,CANADA,HUMMINGBIRD,HMB
CHC GLOBAL OPERATIONS INTERNATIONAL,UNITED KINGDOM,HELIBIRD,GCY
CHC HELICOPTERS CANADA INC.,CANADA,REDBIRD,RBD
CHC HELICOPTERS NETHERLANDS,NETHERLANDS,MAPLELEAF,HNL
CHC HELICOPTERS NIGERIA LIMITED,NIGERIA,COLIBRI,ATQ
CHC HELIKOPTER SERVICE AS,NORWAY,HELIBUS,HKS
CHC IRELAND,IRELAND,IRISH COASTGUARD,ICS
CHEMECH AVIATION (PVT) LIMITED,PAKISTAN,,CHM
"CHENGDU AIRLINES CO., LTD",CHINA,UNITED EAGLE,UEA
CHEQAIR,UNITED KINGDOM,ASTON,...
CHEROKEE AIR LIMITED,BAHAMAS,ABACO,FSS
"CHERRY AIR, INC. (DALLAS, TX)",UNITED STATES,CHERRY,CCY
"CHESAPEAKE AIR SERVICE (PASADENA, MD)",UNITED STATES,CHESAPEAKE AIR,CAB
CHEVRON CORPORATION,UNITED STATES,GULFHAWK,GLH
"CHEVRON U.S.A. (NEW ORLEANS, LA)",UNITED STATES,CHEVRON,CVR
"CHEYENNE AIRWAYS, INC. (CHEYENNE, WY)",UNITED STATES,CHEYENNE AIR,CYA
"CHICAGO AIR, INC. (CHICAGO, IL)",UNITED STATES,WILD ONION,CGO
"CHICAGO JET GROUP, LLC (SUGAR GROVE, IL)",UNITED STATES,WINDY CITY,WDY
"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",UNITED STATES,AIR CHIEF,AIO
"CHILCHOTA TAXI AEREO, S.A. DE C.V.",MEXICO,CHILCHOTA,CCH
CHIM-NIR AVIATION,ISRAEL,CHIMNIR,ETN
"CHINA AIR CARGO CO., LTD",CHINA,AVIC CARGO,CCO
CHINA AIRLINES,CHINA,DYNASTY,CAL
CHINA CARGO AIRLINES LTD,CHINA,CARGO KING,CKK
"CHINA CENTRAL LONGHAO AIRLINES CO., LTD.",CHINA,AIR CANTON,LHA
CHINA CIVIL AVIATION FLIGHT UNIVERSITY,CHINA,FLIGHT UNIVERSITY,FTU
CHINA EASTERN AIRLINES,CHINA,CHINA EASTERN,CES
"CHINA EXPRESS AIRLINES CO., LTD",CHINA,CHINA EXPRESS,HXA
CHINA FLIGHT GENERAL AVIATION COMPANY,CHINA,ZHONGFEI,CFZ
CHINA FLYING DRAGON AVIATION CO.,CHINA,FEILONG,CFA
CHINA OCEAN HELICOPTER CORP. - COHC,CHINA,CHINA HELICOPTER,CHC
CHINA POSTAL AIRLINES LTD,CHINA,CHINA POST,CYZ
CHINA SOUTHERN AIRLINES,CHINA,CHINA SOUTHERN,CSN
CHINA SOUTHERN AIRLINES CARGO,CHINA,SOUTHERN CARGO,CSG
CHINA SOUTHERN AIRLINES GENERAL AVIATION LIMITED,CHINA,AERO EAGLE,SAG
CHINA SOUTHERN AIRLINES HENAN CO. LTD,CHINA,YUHAO,CYH
CHINA SOUTHERN AIRLINES XIONG AN AIRLINES COMPANY LIMITED,CHINA,STRONG AIR,CXN
"CHINA UNITED AIRLINES CO., LTD.",CHINA,CHINA UNITED,CUA
"CHINA WEST AIR CO., LTD",CHINA,WEST CHINA,CHB
CHINGGIS AIRWAYS,MONGOLIA,,CHS
CHINGUETTI AIRLINES,MAURITANIA,CHINGUETTI,CGU
"CHIPOLA AVIATION, INC. (MARIANNA, FL)",UNITED STATES,CHIPOLA,CEP
CHODANG UNIVERSITY,REPUBLIC OF KOREA,CHODANG FLIGHT,CDQ
"CHOICE AIRWAYS, INC. (SUNRISE, FL)",UNITED STATES,CHOICE AIR,CSX
"CHONG QING AIRLINES CO., LTD",CHINA,CHONG QING,CQN
"CHONGQING FOREBASE GENERAL AVIATION CO., LTD",CHINA,FOREBASE,CFB
"CHRISTMAN AIR SYSTEM (WASHINGTON, PA)",UNITED STATES,CHRISTMAN,CAS
CHROME AIR SERVICES LTD,NIGERIA,CHROME AIR,CHO
CHRONO AVIATION INC. D/B/A CHRONO AVIATION,CANADA,NEEDLE,NDL
CHRONO JET INC,CANADA,MATBLACK,MBK
"CHURCH AIRCRAFT LTD (DENVER, CO)",UNITED STATES,CHURCHAIR,CHU
CHURCH FENTON FTU,UNITED KINGDOM,CHURCH FENTON,CFN
CI-TOURS,COTE D'IVOIRE,CI-TOURS,VCI
CIAF LEASING,EGYPT,CIAF LEASING,CIL
CIELOS DEL SUR S.A. - AUSTRAL,ARGENTINA,AUSTRAL,AUT
CIMAS EMERGENCY AIR RESCUE SERVICE,ZIMBABWE,CIMAS,CRA
CIMBER A/S,DENMARK,CIMBER,CIM
"CIMEX ENVIRONMENTAL, LLC",UNITED STATES,CLEAR WAVE,WVE
"CIRRUS AIR, INC. (DALLAS, TX)",UNITED STATES,NITE STAR,NTS
"CITATIONSHARES, LLC (GREENWHICH CT)",UNITED STATES,FIVE STAR,FIV
"CITIBANK, N.A. (NEWARK, NJ)",UNITED STATES,,XCX
CITILINK INDONESIA,INDONESIA,SUPERGREEN,CTV
CITY AIRLINES GMBH,GERMANY,CITYAIR,LHX
CITY AIRWAYS CO. LTD,THAILAND,CITY AIRWAYS,GTA
CITY CONNEXION AIRLINES,BURUNDI,CONNEXION,CIX
CITYJET,IRELAND,CITY-IRELAND,BCY
CITYLINE HUNGARY LTD,HUNGARY,CITYHUN,CNB
CIVAIR AIRWAYS (PTY) LTD T/A REDAIR,SOUTH AFRICA,SKY RED,FLV
"CIVIL AIR PATROL, SOUTH CAROLINA WING (COLUMBIA, SC)",UNITED STATES,BOX KAR,BKR
CIVIL AVIATION AUTHORITY OF NEW ZEALAND,NEW ZEALAND,CIVAIR,CIV
CIVIL AVIATION AUTHORITY OF THE CZECH REPUBLIC,CZECHIA,INSPECTOR,CAA
"CKC SERVICES, INC. (NEWPORT BEACH, CA)",UNITED STATES,,CKC
CLACTON AERO CLUB 1988 LTD,UNITED KINGDOM,CLASSIC WINGS,...
"CLARK AVIATION CORP. (NEW CUMBERLAND, PA)",UNITED STATES,CLARKAIR,CLK
CLASAIR,UNITED KINGDOM,CALEDONIAN,CSF
CLASS AVIATION,MAURITANIA,RICHAT,DUC
CLASSIC FLIGHT TRAINING SERVICES LTD,UNITED KINGDOM,RAINMAN,RMN
CLASSIC JET,LITHUANIA,CLASSIC JET,LLT
"CLAY LACY AVIATION (SEATTLE, WA)",UNITED STATES,CLAY-LACY,CLY
CLEOPATRA AVIATION,EGYPT,CLEOPATRA,CLN
"CLICKAIR, S.A.",SPAIN,CLICKJET,CLI
CLOUD 9 AIR CHARTERS,SOUTH AFRICA,CLOUDLINE,CLZ
CLOWES ESTATES LTD,UNITED KINGDOM,CLOWES,CLD
CLUB ACROBATICO MEDITERRANEO,SPAIN,,CAG
CLUB AERO VIGO,SPAIN,AERO VIGO,VIJ
CLUB AEROCELTA DE VUELO CON MOTOR,SPAIN,,CLT
CLUB DE VUELO TAS,SPAIN,,TSX
"CM STAIR, COMPAGNIE MAURITANIENNE DES SERVICES ET TRANSPORT AERIEN",MAURITANIA,CEE-EM STAIRS,CMZ
CMA CGM AIR CARGO,FRANCE,FRENCH CARGO,CMA
CMC ELECTRONICS INC.,CANADA,ESTERLINE,CMC
"CNAIR, S.A.",SPAIN,CAPRI,ORO
"COASTAL AIR TRANSPORT (CHRISTIANSTED, ST. CROIX)",UNITED STATES,COASTAL,CXT
"COASTAL AIRWAYS (GULFPORT, MS)",UNITED STATES,SID-AIR,CNG
COASTAL TRAVELS LIMITED,UNITED REPUBLIC OF TANZANIA,COASTAL TRAVEL,CSV
"COBALT AIR, LLC (PORTSMOUTH NH)",UNITED STATES,CHRONOS,CNS
COBALTAIR LIMITED,CYPRUS,APOLLO,FCB
COBHAM AVIATION SERVICES AUSTRALIA - AIRLINE SERVICES,AUSTRALIA,,QJE
COBHAM FLIGHT INSPECTION LTD,UNITED KINGDOM,CALIBRATOR,CLB
COBRA AVIATION,SOUTH AFRICA,STRIKE,CBR
COBRA JET AVIATION,EGYPT,COBRA JET,COB
COBREX TRANS,ROMANIA,COBREX,CBX
"COINSPECTRA AVIACION, C.A.",VENEZUELA,COAVIATION,COI
COLAEREOS,ECUADOR,COLAEREOS,OLR
"COLEMILL ENTERPRISES (NASHVILLE, TN)",UNITED STATES,COLEMILL,CLE
"COLGAN AIR (MANASSAS, VA)",UNITED STATES,COLGAN,CJC
COLOMBE AIRLINE S.A.,BURKINA FASO,COLOMBE LINE,CBL
COLORFUL GUIZHOU AIRLINES CO. LTD.,CHINA,COLORFUL,CGZ
"COLORFUL YUNNAN GENERAL AVIATION CO., LTD.",CHINA,COLOR JET,CYN
"COLT INTERNATIONAL, INC.",UNITED STATES,,CCX
COLT TRANSPORTES AEREOS S.A.,BRAZIL,COLT,XCA
"COLUMBIA HELICOPTERS, INC. (LAKE CHARLES, LA)",UNITED STATES,COLUMBIA HELI,WCO
"COLUMBUS AIR TRANSPORT, INC. (COLUMBUS, OH)",UNITED STATES,KAY-LER,KLR
"COLVIN AVIATION, INC. (ATHENS, GA)",UNITED STATES,GRASSHOPPER EX,GHP
"COMAC SHANGHAI AIRCRAFT CUSTOMER SERVICE CO., LTD.",CHINA,COMAC EXPRESS,CCS
COMAIR FLIGHT SERVICES (PTY) LTD,SOUTH AFRICA,GLOBECOM,GCM
COMAIR LTD,SOUTH AFRICA,COMMERCIAL,CAW
"COMAIR, INC. (CINCINNATI, OH)",UNITED STATES,COMAIR,COM
COMBINED PRIVATE INVESTIGATIONS CC T/A CPI AVIATION,SOUTH AFRICA,TARSIER,TSJ
COMED GROUP,UNITED KINGDOM,COMEX,CDE
"COMERCIAL AEREA, S.A. DE C.V.",MEXICO,COMERCIAL AEREA,CRS
COMERCIAL DE AVIACION C.A. (COMERAVIA),VENEZUELA,COMERAVIA,CVV
"COMERCIALIZACION DE AVIACION EJECUTIVA, S.A. DE C.V.",MEXICO,COMEREJECUTIVA,CVJ
"COMERCIALIZACION INDUSTRIAL GLOBAL, S.A. DE C.V.",MEXICO,COMGLOB,CGB
COMET AIRLINES LIMITED,NIGERIA,SUNSPY,CMG
"COMFORT SERVICIOS AEREOS, S.A. DE C.V.",MEXICO,COMFORT SERVICIOS,FRS
COMITE INTERNATIONAL DE LA CROIX-ROUGE RED CROSS (INTERNATIONAL COMMITTEE),SWITZERLAND,RED CROSS,RED
COMLUX (MALTA) LTD,MALTA,LUXMALTA,MLM
COMLUX ARUBA,NETHERLANDS,STARLUX,CXB
COMLUX SAN MARINO,SAN MARINO,COMLUX,SMC
COMLUX-KZ JSC,KAZAKHSTAN,KAZLUX,KAZ
COMMAIR AVIATION LIMITED,UNITED KINGDOM,COMMODORE,CMH
COMMANDAIR C.A,VENEZUELA,COMMAND AIR,WPC
COMMANDEMENT DU TRANSPORT AERIEN MILITAIRE FRANCAIS,FRANCE,COTAM,CTM
"COMMANDER MEXICANA, S.A. DE C.V.",MEXICO,COMMANDERMEX,CRM
COMMERCE BANK,UNITED STATES,COMMERCE BANK,CME
COMMON SKY A & N LUFTFAHRT GMBH,AUSTRIA,COMMON SKY,AUN
"COMMONWEALTH JET SERVICE, INC. (SANDSTON, VA)",UNITED STATES,COMMONWEALTH,CJS
"COMMUTAIR (PLATTSBURGH, NY)",UNITED STATES,COMMUTAIR,UCA
COMORES AVIATION INTERNATIONAL,COMOROS,COMORES AVIATION,KMZ
COMPAGNIA AERONAUTICA ITALIANA S.P.A.,ITALY,AIRCAI,CPI
COMPAGNIA GENERALE RIPRESEAEREE S.P.A.,ITALY,COMPRIP,CGR
COMPAGNIE AFRICAINE D'AVIATION (CAA),DEMOCRATIC REPUBLIC OF THE CONGO,AFRICAN,DBP
COMPAGNIE MAURITANIENNE DES TRANSPORTS,MAURITANIA,,CPM
COMPAGNIE NATIONALE AIR GABON,GABON,GOLF NOVEMBER,AGN
COMPAGNIE NATIONALE NAGANAGANI,BURKINA FASO,,BFN
COMPANIA AEREA DEL SUR S.A. (AEROSUR S.A.),URUGUAY,ASUR,ASU
COMPANIA AEROTECNICAS FOTOGRAFICAS,SPAIN,AEROTECNICAS,ATF
COMPANIA DE AVIACION PARAGUAYA S.A.,PARAGUAY,GUARANI,AZP
"COMPANIA DE SERVICIOS AEREOS NACIONALES, S.A. (SANSA)",COSTA RICA,,LRS
COMPANIA DE SERVICIOS AEREOS TAVISA,SPAIN,TAVISA,TAV
"COMPANIA DE SERVICIOS AEREOS, S.A. (SAESA)",SPAIN,SAESA,SSS
"COMPANIA EJECUTIVA, S.A. DE C.V.",MEXICO,EJECUTIVA,EJV
"COMPANIA MEXICANA DE AEROPLANOS, S.A.",MEXICO,AEROPLANOS,MDR
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,ROMANIA,TAROM,ROT
"COMPANIA OPERADORA DE CORTO Y MEDIO RADIO IBERIA EXPRESS, S.A.U.",SPAIN,IBEREXPRES,IBS
"COMPANIA PANAMENA DE AVIACION, S.A.",PANAMA,COPA,CMP
"COMPANIA TRANSPORTES AEREOS DEL SUR, S.A.",SPAIN,TAS HELICOPTEROS,HSS
COMPASS CARGO AIRLINES,BULGARIA,MIGRATOR,ADZ
"COMPUFLIGHT OPERATIONS SERVICE, INC. (PORT WASHINGTON, NY)",UNITED STATES,,XCO
COMPUSERVE INCORPORATED,UNITED STATES,,XCS
"COMUNICACION GLOBAL OBJETIVO, S.L.",SPAIN,OBJETIVO,OBJ
CONAIR GROUP INC. D/B/A CONAIR,CANADA,FIREGUARD,FGD
"CONCESIONARIA VUELA COMPANIA DE AVIACION, S.A. DE C.V.",MEXICO,VOLARIS,VOI
CONCIERGE U LIMITED,UNITED KINGDOM,CONCIERGE,JCO
"CONDOR AERO SERVICES, INC. (CULLMAN, AL)",UNITED STATES,CONAERO,CNR
"CONDOR FLUGDIENST GMBH, FRANKFURT (MAIN)",GERMANY,CONDOR,CFG
CONGO AIRWAYS. SA,DEMOCRATIC REPUBLIC OF THE CONGO,CONGO AIR,COG
CONGO FALCON,CONGO,AFRICA AIRLINES,AAT
"CONGRESSIONAL AIR, LTD (GAITHERSBURG, MD)",UNITED STATES,CONGRESSIONAL,CGA
CONINGSBY FTU,UNITED KINGDOM,TYPHOON,CBY
CONNECT AIR LTD.,CANADA,CONNECT,CCT
CONNECT LINHAS AEREAS S.A.,BRAZIL,CONNECT CARGO,CNT
CONOCOPHILLIPS CO.,UNITED STATES,CONOCO,CON
"CONQUEST AIR INC. (MIAMI, FL)",UNITED STATES,CHICKPEA,QAI
"CONQUEST AIRLINES (BEAUMONT, TX)",UNITED STATES,CONQUEST AIR,CAC
CONSORCIO AEREO DE XALAPA,MEXICO,CONSORCIO,CAX
CONSORCIO HELITEC C.A.,VENEZUELA,CONSORCIO HELITEC,VCH
CONSTANTA,UKRAINE,CONSTANTA,UZA
CONTACT AIR SARL,NIGER,GOBER AIR,CAN
"CONTEL ASC (MCLEAN, VA)",UNITED STATES,,XCL
"CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)",UNITED STATES,AIR MIKE,CMI
CONVERS AVIA AIRLINE,RUSSIAN FEDERATION,CONVERS,CVS
CONVIASA,VENEZUELA,CONVIASA,VCV
"COOK INLET AVIATION, INC. (HOMER, AK)",UNITED STATES,COOK-AIR,CKA
COPENHAGEN AIRTAXI A/S,DENMARK,AIRCAT,CAT
"COPPER STATE AIR SERVICE, INC. (MESA, AZ)",UNITED STATES,COPPER STATE,COP
